epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,619.795,1.13125,0.61188,0.9699,0.99432,1,0.995,0.64053,1.28781,0.57392,0.96223,0.00168716,0.00168716,0.00168716
81,627.577,1.17417,0.6458,0.96644,0.99442,1,0.995,0.62695,1.30764,0.58355,0.96592,0.0016832,0.0016832,0.0016832
82,634.275,1.24059,0.63094,0.95428,0.99437,1,0.995,0.65906,1.29905,0.60086,0.95505,0.00167924,0.00167924,0.00167924
83,640.813,1.06696,0.58007,0.92251,0.995,1,0.995,0.62415,1.29079,0.60972,0.9491,0.00167528,0.00167528,0.00167528
84,647.453,1.17193,0.61925,0.95176,0.99467,1,0.995,0.63812,1.34227,0.57525,0.95885,0.00167132,0.00167132,0.00167132
85,655.25,1.21417,0.60799,0.90421,0.99489,1,0.995,0.62222,1.36241,0.59543,0.96553,0.00166736,0.00166736,0.00166736
86,662.142,1.1899,0.62888,0.93029,0.99316,1,0.995,0.6384,1.32073,0.62509,0.97552,0.0016634,0.0016634,0.0016634
87,669.683,1.23437,0.61772,0.95176,0.99063,1,0.995,0.61644,1.33723,0.62222,0.99061,0.00165944,0.00165944,0.00165944
88,676.81,1.27293,0.63738,0.98044,0.99282,1,0.995,0.6209,1.39339,0.61698,1.01065,0.00165548,0.00165548,0.00165548
89,683.769,1.22345,0.63318,0.96794,0.9933,1,0.995,0.6054,1.4152,0.6377,1.01035,0.00165152,0.00165152,0.00165152
90,691.418,1.21288,0.64048,0.96767,0.99431,1,0.995,0.6083,1.35909,0.58447,0.97285,0.00164756,0.00164756,0.00164756
91,698.613,1.17615,0.62012,0.94639,0.99455,1,0.995,0.63557,1.28762,0.5774,0.95568,0.0016436,0.0016436,0.0016436
92,704.956,1.21164,0.61381,0.95585,0.99375,1,0.995,0.64639,1.34129,0.64149,0.95749,0.00163964,0.00163964,0.00163964
93,712.227,1.20792,0.59784,0.94918,0.99273,1,0.995,0.6337,1.3381,0.64812,0.95874,0.00163568,0.00163568,0.00163568
94,720.467,1.16961,0.59277,0.9628,0.99499,1,0.995,0.6213,1.30456,0.6208,0.95193,0.00163172,0.00163172,0.00163172
95,727.206,1.20009,0.59603,0.94018,0.995,1,0.995,0.63911,1.29868,0.61321,0.96665,0.00162776,0.00162776,0.00162776
96,733.741,1.22914,0.59843,0.97722,0.99503,1,0.995,0.58626,1.41677,0.60709,0.9858,0.0016238,0.0016238,0.0016238
97,739.994,1.25767,0.61273,1.02041,0.9953,1,0.995,0.61602,1.43218,0.59147,0.98595,0.00161984,0.00161984,0.00161984
98,747.77,1.23632,0.64125,0.977,0.99469,1,0.995,0.6355,1.36898,0.54576,0.97021,0.00161588,0.00161588,0.00161588
99,754.419,1.2029,0.62281,0.9348,0.99421,1,0.995,0.59827,1.44216,0.57219,0.98322,0.00161192,0.00161192,0.00161192
